Sample.Loc,Lat,Lng,Img
Bottom,31.4938,-94.7799,img/4Fal18_Bottom_1.jpg
Burned,31.5147,-94.7168,img/4Fal18_Burned_2.jpg
Crop,31.5062,-94.7624,img/4Fal18_Crop_3.jpg
Loblolly,31.5328,-94.7311,img/4Fal18_Loblolly_4.jpg
Longleaf,31.5135,-94.7168,img/4Fal18_Longleaf_5.jpg
Pasture,31.5032,-94.7645,img/4Fal18_Pasture_6.jpg
Overgrown,31.5194,-94.7624,img/4Fal18_Overgrown_7.jpg
Switch,31.5141,-94.7164,img/4Fal18_Switch_8.jpg
